,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,available_date,lat_lon,closest_aldi,closest_sainsburys,closest_tesco,closest_superdrug,closest_asda,closest_lidl,closest_boots,minutes_from_TCR
99,1712,1 bedroom apartment,"Beresford Road, London, N5",http://www.rightmove.co.uk/properties/124672010#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Highbury-Park-52785.html,N5,,1,2022-07-06 11:41:47.344563,2022-07-23 00:00:00.000000,"51.5499489,-0.087591",0.94,1.01,1.37,0.96,2.82,2.03,2.3,31.0
100,1750,1 bedroom flat,"Wellesley Court, Maida Vale, W9",http://www.rightmove.co.uk/properties/123665951#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Home-Made-UK-Properties-Limited/London-156986.html,W9,,1,2022-07-06 11:41:47.344563,2022-07-22 00:00:00.000000,"51.382564,-0.2143031",15.38,14.83,15.74,15.31,9.82,12.04,15.54,54.0
101,1275,1 bedroom flat,"St Johns Villas, N19",http://www.rightmove.co.uk/properties/124670999#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/JTM-Homes/London---Lettings-29933.html,N19,,1,2022-07-06 11:41:47.344563,2022-07-09 00:00:00.000000,"51.5650818,-0.1305474",0.24,2.84,2.19,1.1,4.23,1.22,3.17,23.0
102,1625,2 bedroom flat,"Brighton Terrace, Brixton",http://www.rightmove.co.uk/properties/85501050#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Dexters/Clapham-High-Street-84875.html,,,2,2022-07-06 11:41:47.344563,,"51.461784,-0.117399",4.7,3.88,5.48,5.12,3.34,1.33,5.38,24.0
103,1300,1 bedroom apartment,"Camberwell Church Street, London, SE5",http://www.rightmove.co.uk/properties/124670030#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Key-Property-Consultants/Penge-160727.html,SE5,,1,2022-07-06 11:41:47.344563,2022-07-30 00:00:00.000000,"51.47554315822922,-0.08792169923197445",2.28,2.26,4.23,3.75,1.6,1.84,4.44,37.0
104,1750,2 bedroom apartment,"Stepney, E1",http://www.rightmove.co.uk/properties/87808885#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Lloyds-Residential/Bethnal-Green-15950.html,E1,,2,2022-07-06 11:41:47.344563,2022-08-13 00:00:00.000000,"51.517383,-0.0539466",3.55,3.38,2.65,1.0,0.58,1.79,2.02,23.0
105,1400,1 bedroom apartment,"Lighterman Point, New Village Avenue, London, E14",http://www.rightmove.co.uk/properties/124669676#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Inner-City-Estates/Bow-103850.html,E14,,1,2022-07-06 11:41:47.344563,2022-09-07 00:00:00.000000,"51.5133062,-0.00017313395288663557",3.88,6.36,6.35,4.75,2.32,1.98,5.78,36.0
106,1599,1 bedroom flat,"Manor Gardens, Holloway",http://www.rightmove.co.uk/properties/124213610#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Dexters/Kentish-Town-218729.html,,,1,2022-07-06 11:41:47.344563,,"51.5603562,-0.1233906",0.91,2.54,1.8,0.38,3.91,0.5,2.84,26.0
107,1380,1 bedroom flat," Topsfield Parade, Flat A, London, N8 8PR",http://www.rightmove.co.uk/properties/124456673#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Planet-International/London-70326.html,N8,N8 8PR,1,2022-07-06 11:41:47.344563,2022-11-07 00:00:00.000000,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,14.0
108,1350,1 bedroom flat,"Stroud Green Road, Finsbury Park, N4",http://www.rightmove.co.uk/properties/124668134#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Homelink-Lettings-and-Estates/London-13040.html,N4,,1,2022-07-06 11:41:47.344563,2022-09-07 00:00:00.000000,"51.5662294,-0.1071794",1.36,3.12,2.76,1.21,2.63,0.24,3.7,23.0
109,1733,1 bedroom maisonette,"Warlock Road, London, W9",http://www.rightmove.co.uk/properties/124668083#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Mountgrange-Heritage/North-Kensington-84580.html,W9,,1,2022-07-06 11:41:47.344563,2022-02-09 00:00:00.000000,"51.52702,-0.2013754",1.55,4.45,5.15,3.88,7.31,4.35,3.81,33.0
110,1712,2 bedroom flat,"Rathcoole gardens, Crouch Hill",http://www.rightmove.co.uk/properties/124408916#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Living-Space-Estate-Agents/Islington-237116.html,,,2,2022-07-06 11:41:47.344563,2022-10-09 00:00:00.000000,"51.5831269,-0.114238",1.41,4.86,4.4,1.39,3.21,2.13,5.43,38.0
111,1750,1 bedroom flat,"GFF, Richmond Road, London",http://www.rightmove.co.uk/properties/85698459#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Smartmove-Property/London-79896.html,,,1,2022-07-06 11:41:47.344563,2022-08-15 00:00:00.000000,"51.517344,-0.094739",3.5,0.74,0.47,0.71,2.2,2.95,0.82,16.0
112,1582,1 bedroom flat,"Shirland Road, Maida Vale, W9 ",http://www.rightmove.co.uk/properties/124666025#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Goldschmidt-and-Howland/Little-Venice---Lettings-73965.html,W9,,1,2022-07-06 11:41:47.344563,2022-10-09 00:00:00.000000,"51.524353,-0.1890514",0.94,3.78,4.52,2.97,6.78,3.61,2.9,21.0
113,1500,2 bedroom flat,"Frome Road, Turnpike Lane, London, N22",http://www.rightmove.co.uk/properties/124665731#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Michael-Naik/London-101870.html,N22,,2,2022-07-06 11:41:47.344563,2001-08-01 00:00:00.000000,"51.5886484,-0.1115911",1.69,5.27,5.04,1.69,2.98,2.68,6.07,32.0
114,1700,2 bedroom flat,"187 East India Dock Road, London E14",http://www.rightmove.co.uk/properties/124664594#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/ludlowthompson/Canada-Water-63765.html,E14,,2,2022-07-06 11:41:47.344563,2022-08-31 00:00:00.000000,"51.5115959,-0.01290972020586343",3.62,5.81,5.47,3.9,1.95,1.14,4.92,36.0
115,1700,1 bedroom flat,"Cromwell Road, South Kensington, SW7",http://www.rightmove.co.uk/properties/124709339#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Paramount/London---Lettings-62636.html,SW7,,1,2022-07-06 11:41:47.344563,2022-12-08 00:00:00.000000,"51.5359966,-0.2986809",7.14,10.96,11.52,10.64,12.16,10.96,10.6,41.0
