,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,available_date,lat_lon,closest_aldi,closest_sainsburys,closest_tesco,closest_superdrug,closest_asda,closest_lidl,closest_boots,minutes_from_TCR
17,1733,1 bedroom flat,"Heathway Court, Finchley Road, Hampstead, NW3",http://www.rightmove.co.uk/properties/124722497#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Abacus-Estates/West-Hampstead-London-26267.html,NW3,,1,2022-07-06 15:58:10.018939,2022-07-06 15:58:19.029751,"51.563914,-0.19622803126111202",2.61,4.65,4.82,5.39,8.75,4.2,4.84,31
18,1700,2 bedroom flat,"Brownswood Road, Finsbury Park",http://www.rightmove.co.uk/properties/124721807#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Alex-Crown-Lettings-and-Estate-Agents/Islington-102122.html,,,2,2022-07-06 15:58:10.018939,2022-01-09 00:00:00.000000,"51.564638,-0.11317",1.45,3.1,2.55,0.82,3.08,0.61,3.56,29
19,1650,1 bedroom flat,"Winchester Square, London, SE8",http://www.rightmove.co.uk/properties/124719839#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/VZ-Properties/Manchester-229262.html,SE8,,1,2022-07-06 15:58:10.018939,2022-08-19 00:00:00.000000,"51.506588449999995,-0.09111009891084207",3.95,1.43,0.77,0.97,2.57,1.73,1.41,22
20,1452,1 bedroom flat,"Rotherhithe Street, Rotherhithe",http://www.rightmove.co.uk/properties/124721117#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Dexters/Tower-Bridge-43812.html,,,1,2022-07-06 15:58:10.018939,,"51.5008048,-0.033336",2.88,4.6,4.29,3.02,1.58,1.55,3.96,34
21,1500,2 bedroom flat,"Seymour Road, London, E10",http://www.rightmove.co.uk/properties/124720376#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Central-Estate-Agents/Leytonstone-239399.html,E10,,2,2022-07-06 15:58:10.018939,2022-07-16 00:00:00.000000,"51.56895140323132,-0.014092132291002896",1.11,4.76,6.82,4.83,1.49,4.19,7.4,42
22,1400,2 bedroom flat,"HENLEY LODGE, WILLOW WALK , Walthamstow, E17",http://www.rightmove.co.uk/properties/124720250#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Holdens-Property-Services/Ilford-43614.html,E17,,2,2022-07-06 15:58:10.018939,2022-07-18 00:00:00.000000,"51.534694,-0.101681",2.24,0.32,0.14,0.43,2.95,2.7,0.38,23
23,1500,2 bedroom apartment,"Gaselee Street, Blackwall, London, E14",http://www.rightmove.co.uk/properties/124719980#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Stirling-Ackroyd-Lettings/Canary-Wharf-209807.html,E14,,2,2022-07-06 15:58:10.018939,2022-11-08 00:00:00.000000,"51.5067673,-0.0070459",3.09,6.48,5.92,4.4,1.47,1.73,5.43,32
24,1400,1 bedroom apartment,"High Road, Wood Green",http://www.rightmove.co.uk/properties/124719545#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/mi-homes/London-153011.html,,,1,2022-07-06 15:58:10.018939,2022-07-06 15:58:21.461124,"51.5786193,-0.0730484",1.66,3.45,4.58,1.72,0.63,2.65,5.58,29
25,1650,1 bedroom flat,"Commercial Road, London E1",http://www.rightmove.co.uk/properties/124722596#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/ludlowthompson/City-Docklands-5480.html,E1,,1,2022-07-06 15:58:10.018939,2022-08-20 00:00:00.000000,"51.5124164,-0.0319855",3.99,4.86,4.15,2.58,1.65,0.32,3.6,27
26,1400,1 bedroom flat,"Hornsey Road, London",http://www.rightmove.co.uk/properties/124719365#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Sunshine-Estates/London-241280.html,,,1,2022-07-06 15:58:10.018939,2022-07-31 00:00:00.000000,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,14
27,1733,2 bedroom flat,Hankey Place,http://www.rightmove.co.uk/properties/124718570#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Black-Katz/London-Bridge-49784.html,,,2,2022-07-06 15:58:10.018939,2022-07-06 15:58:23.026716,"51.4997331,-0.0884702",3.26,0.92,1.55,1.49,2.13,0.95,2.09,24
28,1400,1 bedroom apartment,"High Road, Wood Green",http://www.rightmove.co.uk/properties/124717721#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/mi-homes/London-153011.html,,,1,2022-07-06 15:58:10.018939,2022-07-06 15:58:23.227375,"51.5786193,-0.0730484",1.66,3.45,4.58,1.72,0.63,2.65,5.58,29
29,1600,1 bedroom flat,Cromwell Road Stockwell SW9,http://www.rightmove.co.uk/properties/124718342#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Acorn/Kennington-50064.html,SW9,,1,2022-07-06 15:58:10.018939,2022-07-16 00:00:00.000000,"51.476021,-0.106085",3.52,2.14,4.0,3.48,2.68,1.05,3.96,31
30,1225,1 bedroom ground floor flat,"Talbot Road, Tottenham N15",http://www.rightmove.co.uk/properties/124718291#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Birchills/London-115933.html,N15,,1,2022-07-06 15:58:10.018939,2022-09-16 00:00:00.000000,"51.5850709,-0.0699771",1.22,4.18,5.32,2.14,0.95,3.27,6.32,26
31,1408,1 bedroom flat,"Temple Dwellings, Temple Street, E2",http://www.rightmove.co.uk/properties/115678760#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Look-Property-Services-Ltd/Bow-8286.html,E2,,1,2022-07-06 15:58:10.018939,2022-01-09 00:00:00.000000,"51.748115,-1.241732",75.98,79.63,79.96,79.98,80.95,79.34,79.72,102
32,1517,1 bedroom apartment,"Kensington Park Road, Notting Hill, Kensington & Chelsea, W11",http://www.rightmove.co.uk/properties/124717877#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Domus-Nova/Notting-Hill-28746.html,W11,,1,2022-07-06 15:58:10.018939,2022-04-10 00:00:00.000000,"51.5140606,-0.204814",2.32,5.11,5.95,3.84,6.09,4.83,3.87,25
33,1550,2 bedroom apartment,"Deanery Close, London, N2",http://www.rightmove.co.uk/properties/124717862#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Martyn-Gerrard/East-Finchley-13096.html,N2,,2,2022-07-06 15:58:10.018939,2022-07-13 00:00:00.000000,"51.507676,-0.15129",2.49,1.75,2.25,0.72,4.81,2.07,0.99,22
34,1650,1 bedroom apartment,"Proton Tower, Canary Wharf, E14",http://www.rightmove.co.uk/properties/124717361#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Franklyn-James/Westferry-66685.html,E14,,1,2022-07-06 15:58:10.018939,2022-08-31 00:00:00.000000,"51.503504,-0.018627",2.77,5.66,5.19,3.76,1.11,1.4,4.76,27
35,1375,1 bedroom flat,"Craig Tower, London, E3",http://www.rightmove.co.uk/properties/124716881#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,E3,,1,2022-07-06 15:58:10.018939,2022-01-08 00:00:00.000000,"51.516855449999994,-0.021662393243277026",4.27,4.97,4.87,3.24,2.06,0.55,4.26,32
36,1700,2 bedroom flat,"Muswell Hill Road, Muswell Hill, London, N10",http://www.rightmove.co.uk/properties/124715492#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Traynor-and-Company/Crouch-End-33447.html,N10,,2,2022-07-06 15:58:10.018939,2022-06-08 00:00:00.000000,"51.5884247,-0.1465082",2.73,5.36,4.87,3.65,5.38,3.92,5.7,32
37,1450,1 bedroom terraced house,"Kingsland Road, Shoreditch, E2 ",http://www.rightmove.co.uk/properties/124715144#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Hemmingfords/London-201083.html,E2,,1,2022-07-06 15:58:10.018939,,"51.5345067,-0.0755009",1.32,1.46,1.87,1.42,1.57,1.65,1.89,27
38,1400,1 bedroom apartment,Wandsworth Road London SW8,http://www.rightmove.co.uk/properties/124714919#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Lettings/Clapham-Common-106618.html,SW8,,1,2022-07-06 15:58:10.018939,2022-08-17 00:00:00.000000,"51.4699602,-0.1384355",5.84,3.89,4.76,4.72,1.92,1.3,4.59,31
39,1248,1 bedroom flat,"Ferguson Wharf, E14",http://www.rightmove.co.uk/properties/72357255#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Felicity-J-Lord/Canary-Wharf-Lettings-11475.html,E14,,1,2022-07-06 15:58:10.018939,2022-08-15 00:00:00.000000,"51.509648,-0.099076",4.29,1.4,0.67,0.56,2.81,2.27,1.26,23
40,1500,1 bedroom flat,Vauxhall Grove Vauxhall SW8,http://www.rightmove.co.uk/properties/124714565#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Lettings/Kennington-57952.html,SW8,,1,2022-07-06 15:58:10.018939,2022-07-30 00:00:00.000000,"51.4848187,-0.1224978",4.7,1.97,2.92,2.74,3.65,1.26,2.8,20
